ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES
129	Dutch	bite (V)	7	bɛɪtə	b ɛɪ t ə	54	1 7 1 7	AXBZ	PETE	5	5.P.C 5.E.V 5.T.C 5.E.V	2.0 1.5 1.75 0.8	0	126
130	Swedish	bite (V)	7	biːta	b iː t a	54	1 7 1 7	AXBZ	PITA	19	19.P.C 19.I.V 19.T.C 19.A.V	2.0 1.5 1.75 0.8	0	126
131	English	bite (V)	7	baɪt	b aɪ t	54	1 7 1	AXN	PAT	6	6.P.C 6.A.V 6.T.c	2.0 1.5 0.8	0	126
132	German	bite (V)	7	baisən	b ai s ə n	54	1 7 3 7 4	AXBYN	PASEN	8	8.P.C 8.A.V 8.S.C 8.E.V 8.N.c	2.0 1.5 1.75 1.3 0.8	0	126
133	Spanish	bite (V)	7	moɾðeɾ	m o ɾ ð e ɾ	56	4 7 5 3 7 5	AXMBYN	MURDER	18	18.M.C 18.U.V 18.R.c 18.D.C 18.E.V 18.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	129
134	Danish	bite (V)	7	biːðə	b iː ð ə	54	1 7 3 7	AXBZ	PIDE	4	4.P.C 4.I.V 4.D.C 4.E.V	2.0 1.5 1.75 0.8	0	126
135	Bulgarian	bite (V)	7	xəpa	x ə p a	58	3 7 1 7	AXBZ	GEPA	2	2.G.C 2.E.V 2.P.C 2.A.V	2.0 1.5 1.75 0.8	0	124
136	Greek	bite (V)	7	ðaŋɡono	ð a ŋ ɡ o n o	59	3 7 4 1 7 4 7	AXMBYBZ	DANKUNU	9	9.D.C 9.A.V 9.N.c 9.K.C 9.U.V 9.N.C 9.U.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	131
137	Armenian	bite (V)	7	kəʦɛl	k ə ʦ ɛ l	57	1 7 2 7 5	AXBYN	KECEL	1	1.K.C 1.E.V 1.C.C 1.E.V 1.L.c	2.0 1.5 1.75 1.3 0.8	0	123
138	Romanian	bite (V)	7	muʃka	m u ʃ k a	56	4 7 3 1 7	AXMBZ	MYSKA	16	16.M.C 16.Y.V 16.S.c 16.K.C 16.A.V	2.0 1.5 1.1 1.75 0.8	0	138
139	Russian	bite (V)	7	kusatʲ	k u s a tʲ	57	1 7 3 7 1	AXBYN	KYSAT	17	17.K.C 17.Y.V 17.S.C 17.A.V 17.T.c	2.0 1.5 1.75 1.3 0.8	0	125
140	Polish	bite (V)	7	ssaʨ	sː a ʨ	57	3 7 2	AXN	SAC	14	14.S.C 14.A.V 14.C.c	2.0 1.5 0.8	0	125
141	Norwegian	bite (V)	7	biːtə	b iː t ə	54	1 7 1 7	AXBZ	PITE	13	13.P.C 13.I.V 13.T.C 13.E.V	2.0 1.5 1.75 0.8	0	126
142	French	bite (V)	7	mɔʁdʁ	m ɔ ʁ d ʁ	56	4 7 5 1 5	AXMBC	MURTR	7	7.M.C 7.U.V 7.R.c 7.T.C 7.R.C	2.0 1.5 1.1 1.75 1.5	0	129
143	Czech	bite (V)	7	kowsat	k o w s a t	57	1 7 6 3 7 1	AXMBYN	KUWSAT	3	3.K.C 3.U.V 3.W.c 3.S.C 3.A.V 3.T.c	2.0 1.5 1.1 1.75 1.3 0.8	0	125
144	Icelandic	bite (V)	7	piːta	p iː t a	54	1 7 1 7	AXBZ	PITA	11	11.P.C 11.I.V 11.T.C 11.A.V	2.0 1.5 1.75 0.8	0	126
145	Italian	bite (V)	7	mɔrdere	m ɔ r d e r e	56	4 7 5 1 7 5 7	AXMBYBZ	MURTERE	12	12.M.C 12.U.V 12.R.c 12.T.C 12.E.V 12.R.C 12.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	129
146	Hindi	bite (V)	7	kaːʈnaː	k aː ʈ n aː	55	1 7 1 4 7	AXBCZ	KATNA	10	10.K.C 10.A.V 10.T.C 10.N.C 10.A.V	2.0 1.5 1.75 1.5 0.8	0	132
147	Portuguese	bite (V)	7	murder	m u r d e r	56	4 7 5 1 7 5	AXMBYN	MYRTER	15	15.M.C 15.Y.V 15.R.c 15.T.C 15.E.V 15.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	129
148	Dutch	black	8	zʋɑrt	z ʋ ɑ r t	60	3 6 7 5 1	ACXLN	SWART	5	5.S.C 5.W.C 5.A.V 5.R.c 5.T.c	2.0 1.5 1.5 1.1 0.8	0	142
149	Swedish	black	8	svartː	s v a r tː	60	3 3 7 5 1	ACYLN	SBART	19	19.S.C 19.B.C 19.A.V 19.R.c 19.T.c	2.0 1.5 1.3 1.1 0.8	0	142
150	English	black	8	blæk	b l æ k	61	1 5 7 1	ACXN	PLEK	6	6.P.C 6.L.C 6.E.V 6.K.c	2.0 1.5 1.5 0.8	0	144
151	German	black	8	ʃvart͡s	ʃ v a r t͡s	60	3 3 7 5 2	ACYLN	SBARC	8	8.S.C 8.B.C 8.A.V 8.R.c 8.C.c	2.0 1.5 1.3 1.1 0.8	0	142
152	Spanish	black	8	neɣɾo	n e ɣ ɾ o	63	4 7 3 5 7	AXBCZ	NEGRU	18	18.N.C 18.E.V 18.G.C 18.R.C 18.U.V	2.0 1.5 1.75 1.5 0.8	0	145
153	Danish	black	8	sɒːd	s ɒː d	60	3 7 1	AXN	SOT	4	4.S.C 4.O.V 4.T.c	2.0 1.5 0.8	0	142
154	Bulgarian	black	8	ʧɛrɛn	ʧ ɛ r ɛ n	66	2 7 5 7 4	AXBYN	CEREN	2	2.C.C 2.E.V 2.R.C 2.E.V 2.N.c	2.0 1.5 1.75 1.3 0.8	0	140
155	Greek	black	8	mavros	m a v r o s	64	4 7 3 5 7 3	AXBCYN	MABRUS	9	9.M.C 9.A.V 9.B.C 9.R.C 9.U.V 9.S.c	2.0 1.5 1.75 1.5 1.3 0.8	0	147
156	Armenian	black	8	sɛv	s ɛ v	62	3 7 3	AXN	SEB	1	1.S.C 1.E.V 1.B.c	2.0 1.5 0.8	0	139
157	Romanian	black	8	neɡru	n e ɡ r u	63	4 7 1 5 7	AXBCZ	NEKRY	16	16.N.C 16.E.V 16.K.C 16.R.C 16.Y.V	2.0 1.5 1.75 1.5 0.8	0	145
158	Russian	black	8	ʧornɨj	ʧ o r n ɨ j	66	2 7 5 4 7 6	AXMBYN	CURNIJ	17	17.C.C 17.U.V 17.R.c 17.N.C 17.I.V 17.J.c	2.0 1.5 1.1 1.75 1.3 0.8	0	141
159	Polish	black	8	ʧarnɨ	ʧ a r n ɨ	66	2 7 5 4 7	AXMBZ	CARNI	14	14.C.C 14.A.V 14.R.c 14.N.C 14.I.V	2.0 1.5 1.1 1.75 0.8	0	141
160	Norwegian	black	8	sɔʈ	s ɔ ʈ	60	3 7 1	AXN	SUT	13	13.S.C 13.U.V 13.T.c	2.0 1.5 0.8	0	142
161	French	black	8	nwaʁ	n w a ʁ	63	4 6 7 5	ACXN	NWAR	7	7.N.C 7.W.C 7.A.V 7.R.c	2.0 1.5 1.5 0.8	0	145
162	Czech	black	8	ʧɛrniː	ʧ ɛ r n iː	66	2 7 5 4 7	AXMBZ	CERNI	3	3.C.C 3.E.V 3.R.c 3.N.C 3.I.V	2.0 1.5 1.1 1.75 0.8	0	141
163	Icelandic	black	8	svar̥tʏr	s v a r̥ t ʏ r	60	3 3 7 5 1 7 5	ACYMBYN	SBARTYR	11	11.S.C 11.B.C 11.A.V 11.R.c 11.T.C 11.Y.V 11.R.c	2.0 1.5 1.3 1.1 1.75 1.3 0.8	0	142
164	Italian	black	8	nero	n e r o	63	4 7 5 7	AXBZ	NERU	12	12.N.C 12.E.V 12.R.C 12.U.V	2.0 1.5 1.75 0.8	0	145
165	Hindi	black	8	kaːlaː	k aː l aː	65	1 7 5 7	AXBZ	KALA	10	10.K.C 10.A.V 10.L.C 10.A.V	2.0 1.5 1.75 0.8	0	148
166	Portuguese	black	8	pretu	p r e t u	67	1 5 7 1 7	ACXBZ	PRETY	15	15.P.C 15.R.C 15.E.V 15.T.C 15.Y.V	2.0 1.5 1.5 1.75 0.8	0	153
167	Dutch	blood	9	bluːt	b l uː t	71	1 5 7 1	ACXN	PLYT	5	5.P.C 5.L.C 5.Y.V 5.T.c	2.0 1.5 1.5 0.8	0	157
168	Swedish	blood	9	bloːd	b l oː d	71	1 5 7 1	ACXN	PLUT	19	19.P.C 19.L.C 19.U.V 19.T.c	2.0 1.5 1.5 0.8	0	157
169	English	blood	9	blʌd	b l ʌ d	71	1 5 7 1	ACXN	PLET	6	6.P.C 6.L.C 6.E.V 6.T.c	2.0 1.5 1.5 0.8	0	157
170	German	blood	9	bluːt	b l uː t	71	1 5 7 1	ACXN	PLYT	8	8.P.C 8.L.C 8.Y.V 8.T.c	2.0 1.5 1.5 0.8	0	157
171	Spanish	blood	9	saŋɡɾe	s a ŋ ɡ ɾ e	69	3 7 4 1 5 7	AXMBCZ	SANKRE	18	18.S.C 18.A.V 18.N.c 18.K.C 18.R.C 18.E.V	2.0 1.5 1.1 1.75 1.5 0.8	0	164
172	Danish	blood	9	bloˀð	b l oˀ ð	71	1 5 7 3	ACXN	PLUD	4	4.P.C 4.L.C 4.U.V 4.D.c	2.0 1.5 1.5 0.8	0	157
173	Bulgarian	blood	9	krɤf	k r ɤ f	68	1 5 7 3	ACXN	KREB	2	2.K.C 2.R.C 2.E.V 2.B.c	2.0 1.5 1.5 0.8	0	155
174	Greek	blood	9	ema	e m a	70	7 4 7	XBZ	EMA	9	9.E.V 9.M.C 9.A.V	1.5 1.75 0.8	0	162
175	Armenian	blood	9	ɑɾɪun	ɑ ɾ ɪu n	69	7 5 7 4	XBYN	ARIN	1	1.A.V 1.R.C 1.I.V 1.N.c	1.5 1.75 1.3 0.8	0	154
176	Romanian	blood	9	sɨnʤe	s ɨ n ʤ e	69	3 7 4 2 7	AXMBZ	SINCE	16	16.S.C 16.I.V 16.N.c 16.C.C 16.E.V	2.0 1.5 1.1 1.75 0.8	0	164
177	Russian	blood	9	krofʲ	k r o fʲ	68	1 5 7 3	ACXN	KRUB	17	17.K.C 17.R.C 17.U.V 17.B.c	2.0 1.5 1.5 0.8	0	156
178	Polish	blood	9	krɛf	k r ɛ f	68	1 5 7 3	ACXN	KREB	14	14.K.C 14.R.C 14.E.V 14.B.c	2.0 1.5 1.5 0.8	0	156
179	Norwegian	blood	9	bluː	b l uː	71	1 5 7	ACX	PLY	13	13.P.C 13.L.C 13.Y.V	2.0 1.5 1.5	0	157
180	French	blood	9	sɑ̃	s ɑ̃	69	3 7	AX	SA	7	7.S.C 7.A.V	2.0 1.5	0	160
181	Czech	blood	9	krɛf	k r ɛ f	68	1 5 7 3	ACXN	KREB	3	3.K.C 3.R.C 3.E.V 3.B.c	2.0 1.5 1.5 0.8	0	156
182	Icelandic	blood	9	plouːθ	p l ouː θ	71	1 5 7 3	ACXN	PLUD	11	11.P.C 11.L.C 11.U.V 11.D.c	2.0 1.5 1.5 0.8	0	157
183	Italian	blood	9	saŋɡwe	s a ŋ ɡ w e	69	3 7 4 1 6 7	AXMBCZ	SANKWE	12	12.S.C 12.A.V 12.N.c 12.K.C 12.W.C 12.E.V	2.0 1.5 1.1 1.75 1.5 0.8	0	164
184	Portuguese	blood	9	sɐ̃gə	s ɐ̃ g ə	69	3 7 1 7	AXBZ	SEKE	15	15.S.C 15.E.V 15.K.C 15.E.V	2.0 1.5 1.75 0.8	0	164
185	Dutch	bone	10	beːn	b eː n	76	1 7 4	AXN	PEN	5	5.P.C 5.E.V 5.N.c	2.0 1.5 0.8	0	168
186	Swedish	bone	10	beːn	b eː n	76	1 7 4	AXN	PEN	19	19.P.C 19.E.V 19.N.c	2.0 1.5 0.8	0	168
187	English	bone	10	bəʊn	b əʊ n	76	1 7 4	AXN	PEN	6	6.P.C 6.E.V 6.N.c	2.0 1.5 0.8	0	168
188	German	bone	10	knɔxən	k n ɔ x ə n	77	1 4 7 3 7 4	ACXBYN	KNUGEN	8	8.K.C 8.N.C 8.U.V 8.G.C 8.E.V 8.N.c	2.0 1.5 1.5 1.75 1.3 0.8	0	172
189	Spanish	bone	10	weso	w e s o	73	6 7 3 7	AXBZ	WESU	18	18.W.C 18.E.V 18.S.C 18.U.V	2.0 1.5 1.75 0.8	0	176
190	Danish	bone	10	beˀn	b eˀ n	76	1 7 4	AXN	PEN	4	4.P.C 4.E.V 4.N.c	2.0 1.5 0.8	0	168
191	Bulgarian	bone	10	kɔst	k ɔ s t	75	1 7 3 1	AXLN	KUST	2	2.K.C 2.U.V 2.S.c 2.T.c	2.0 1.5 1.1 0.8	0	166
192	Greek	bone	10	kokalo	k o k a l o	-72	1 7 1 7 5 7	AXBYBZ	KUKALU	9	9.K.C 9.U.V 9.K.C 9.A.V 9.L.C 9.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	173
193	Armenian	bone	10	voskoɾ	v o s k o ɾ	73	3 7 3 1 7 5	AXMBYN	BUSKUR	1	1.B.C 1.U.V 1.S.c 1.K.C 1.U.V 1.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	165
194	Romanian	bone	10	os	o s	73	7 3	XN	US	16	16.U.V 16.S.c	1.5 0.8	0	176
195	Russian	bone	10	kosʲtʲ	k o sʲ tʲ	75	1 7 3 1	AXLN	KUST	17	17.K.C 17.U.V 17.S.c 17.T.c	2.0 1.5 1.1 0.8	0	166
196	Polish	bone	10	kɔɕʨ	k ɔ ɕ ʨ	75	1 7 3 2	AXLN	KUSC	14	14.K.C 14.U.V 14.S.c 14.C.c	2.0 1.5 1.1 0.8	0	166
197	Norwegian	bone	10	beːn	b eː n	76	1 7 4	AXN	PEN	13	13.P.C 13.E.V 13.N.c	2.0 1.5 0.8	0	168
198	French	bone	10	ɔs	ɔ s	73	7 3	XN	US	7	7.U.V 7.S.c	1.5 0.8	0	166
199	Czech	bone	10	kost	k o s t	75	1 7 3 1	AXLN	KUST	3	3.K.C 3.U.V 3.S.c 3.T.c	2.0 1.5 1.1 0.8	0	166
200	Icelandic	bone	10	peiːn	p eiː n	76	1 7 4	AXN	PEN	11	11.P.C 11.E.V 11.N.c	2.0 1.5 0.8	0	168
201	Italian	bone	10	ɔsso	ɔ sː o	73	7 3 7	XBZ	USU	12	12.U.V 12.S.C 12.U.V	1.5 1.75 0.8	0	176
202	Hindi	bone	10	həɖɖiː	h ə ɖː iː	74	3 7 1 7	AXBZ	HETI	10	10.H.C 10.E.V 10.T.C 10.I.V	2.0 1.5 1.75 0.8	0	174
203	Portuguese	bone	10	osu	o s u	73	7 3 7	XBZ	USY	15	15.U.V 15.S.C 15.Y.V	1.5 1.75 0.8	0	176
204	Dutch	breast	11	bɔrst	b ɔ r s t	79	1 7 5 3 1	AXLLN	PURST	5	5.P.C 5.U.V 5.R.c 5.S.c 5.T.c	2.0 1.5 1.1 1.1 0.8	0	180
205	Swedish	breast	11	brøst	b r ø s t	79	1 5 7 3 1	ACXLN	PRUST	19	19.P.C 19.R.C 19.U.V 19.S.c 19.T.c	2.0 1.5 1.5 1.1 0.8	0	180
206	English	breast	11	brɛst	b r ɛ s t	79	1 5 7 3 1	ACXLN	PREST	6	6.P.C 6.R.C 6.E.V 6.S.c 6.T.c	2.0 1.5 1.5 1.1 0.8	0	180
207	German	breast	11	brʊst	b r ʊ s t	79	1 5 7 3 1	ACXLN	PRYST	8	8.P.C 8.R.C 8.Y.V 8.S.c 8.T.c	2.0 1.5 1.5 1.1 0.8	0	180
208	Spanish	breast	11	seno	s e n o	78	3 7 4 7	AXBZ	SENU	18	18.S.C 18.E.V 18.N.C 18.U.V	2.0 1.5 1.75 0.8	0	188
209	Danish	breast	11	bʁœsd	b ʁ œ s d	79	1 5 7 3 1	ACXLN	PRUST	4	4.P.C 4.R.C 4.U.V 4.S.c 4.T.c	2.0 1.5 1.5 1.1 0.8	0	180
210	Bulgarian	breast	11	ɡrɤt	ɡ r ɤ t	83	1 5 7 1	ACXN	KRET	2	2.K.C 2.R.C 2.E.V 2.T.c	2.0 1.5 1.5 0.8	0	177
211	Greek	breast	11	stiθos	s t i θ o s	78	3 1 7 3 7 3	ACYBYN	STIDUS	9	9.S.C 9.T.C 9.I.V 9.D.C 9.U.V 9.S.c	2.0 1.5 1.3 1.75 1.3 0.8	0	185
212	Armenian	breast	11	kuɾʦkʰ	k u ɾ ʦ kʰ	83	1 7 5 2 1	AXLLN	KYRCK	1	1.K.C 1.Y.V 1.R.c 1.C.c 1.K.c	2.0 1.5 1.1 1.1 0.8	0	177
213	Romanian	breast	11	pjept	p j e p t	82	1 6 7 1 1	ACXLN	PJEPT	16	16.P.C 16.J.C 16.E.V 16.P.c 16.T.c	2.0 1.5 1.5 1.1 0.8	0	192
214	Russian	breast	11	ɡrutʲ	ɡ r u tʲ	83	1 5 7 1	ACXN	KRYT	17	17.K.C 17.R.C 17.Y.V 17.T.c	2.0 1.5 1.5 0.8	0	177
215	Polish	breast	11	pʲɛrɕ	pʲ ɛ r ɕ	80	1 7 5 3	AXLN	PERS	14	14.P.C 14.E.V 14.R.c 14.S.c	2.0 1.5 1.1 0.8	0	179
216	Norwegian	breast	11	bɾyst	b ɾ y s t	-79	1 5 7 3 1	ACXLN	PRYST	13	13.P.C 13.R.C 13.Y.V 13.S.c 13.T.c	2.0 1.5 1.5 1.1 0.8	0	180
217	French	breast	11	pwatʁin	p w a t ʁ i n	82	1 6 7 1 5 7 4	ACXBCYN	PWATRIN	7	7.P.C 7.W.C 7.A.V 7.T.C 7.R.C 7.I.V 7.N.c	2.0 1.5 1.5 1.75 1.5 1.3 0.8	0	183
218	Czech	breast	11	pr̩sa	p r̩ s a	80	1 5 3 7	AXBZ	PRSA	3	3.P.C 3.R.V 3.S.C 3.A.V	2.0 1.5 1.75 0.8	0	179
219	Icelandic	breast	11	b̥rjousd̥	b̥ r j ou s d̥	79	1 5 6 7 3 1	ACCXLN	PRJUST	11	11.P.C 11.R.C 11.J.C 11.U.V 11.S.c 11.T.c	2.0 1.5 1.5 1.5 1.1 0.8	0	180
220	Italian	breast	11	seno	s e n o	78	3 7 4 7	AXBZ	SENU	12	12.S.C 12.E.V 12.N.C 12.U.V	2.0 1.5 1.75 0.8	0	188
221	Hindi	breast	11	ʧaːtiː	ʧ aː t iː	81	2 7 1 7	AXBZ	CATI	10	10.C.C 10.A.V 10.T.C 10.I.V	2.0 1.5 1.75 0.8	0	186
222	Portuguese	breast	11	pɐjtu	p ɐ j t u	82	1 7 6 1 7	AXMBZ	PEJTY	15	15.P.C 15.E.V 15.J.c 15.T.C 15.Y.V	2.0 1.5 1.1 1.75 0.8	0	191
223	Spanish	breast	11	peʧo	p e ʧ o	82	1 7 2 7	AXBZ	PECU	18	18.P.C 18.E.V 18.C.C 18.U.V	2.0 1.5 1.75 0.8	0	191
224	Romanian	breast	11	sɨn	s ɨ n	78	3 7 4	AXN	SIN	16	16.S.C 16.I.V 16.N.c	2.0 1.5 0.8	0	188
225	French	breast	11	sɛ̃	s ɛ̃	78	3 7	AX	SE	7	7.S.C 7.E.V	2.0 1.5	0	188
226	Italian	breast	11	pɛtto	p ɛ tː o	82	1 7 1 7	AXBZ	PETU	12	12.P.C 12.E.V 12.T.C 12.U.V	2.0 1.5 1.75 0.8	0	191
227	Portuguese	breast	11	sɐju	s ɐ j u	78	3 7 6 7	AXBZ	SEJY	15	15.S.C 15.E.V 15.J.C 15.Y.V	2.0 1.5 1.75 0.8	0	188
228	Dutch	burn (V)	12	brɑndə	b r ɑ n d ə	89	1 5 7 4 1 7	ACXMBZ	PRANTE	5	5.P.C 5.R.C 5.A.V 5.N.c 5.T.C 5.E.V	2.0 1.5 1.5 1.1 1.75 0.8	0	196
229	Swedish	burn (V)	12	brɛnːa	b r ɛ nː a	89	1 5 7 4 7	ACXBZ	PRENA	19	19.P.C 19.R.C 19.E.V 19.N.C 19.A.V	2.0 1.5 1.5 1.75 0.8	0	196
230	English	burn (V)	12	bɜːrn	b ɜː r n	89	1 7 5 4	AXLN	PERN	6	6.P.C 6.E.V 6.R.c 6.N.c	2.0 1.5 1.1 0.8	0	196
231	German	burn (V)	12	brɛnən	b r ɛ n ə n	89	1 5 7 4 7 4	ACXBYN	PRENEN	8	8.P.C 8.R.C 8.E.V 8.N.C 8.E.V 8.N.c	2.0 1.5 1.5 1.75 1.3 0.8	0	196
232	Spanish	burn (V)	12	kemaɾ	k e m a ɾ	90	1 7 4 7 5	AXBYN	KEMAR	18	18.K.C 18.E.V 18.M.C 18.A.V 18.R.c	2.0 1.5 1.75 1.3 0.8	0	207
233	Danish	burn (V)	12	bʁanə	b ʁ a n ə	89	1 5 7 4 7	ACXBZ	PRANE	4	4.P.C 4.R.C 4.A.V 4.N.C 4.E.V	2.0 1.5 1.5 1.75 0.8	0	196
234	Bulgarian	burn (V)	12	ɡɔra	ɡ ɔ r a	84	1 7 5 7	AXBZ	KURA	2	2.K.C 2.U.V 2.R.C 2.A.V	2.0 1.5 1.75 0.8	0	194
235	Greek	burn (V)	12	ceo	c eo	87	1 7	AX	CE	9	9.C.C 9.E.V	2.0 1.5	0	201
236	Armenian	burn (V)	12	ɑɪɾvɛl	ɑɪ ɾ v ɛ l	85	7 5 3 7 5	XMBYN	ARBEL	1	1.A.V 1.R.c 1.B.C 1.E.V 1.L.c	1.5 1.1 1.75 1.3 0.8	0	193
237	Romanian	burn (V)	12	arde	a r d e	88	7 5 1 7	XMBZ	ARTE	16	16.A.V 16.R.c 16.T.C 16.E.V	1.5 1.1 1.75 0.8	0	208
238	Russian	burn (V)	12	ʒetʲ	ʒ e tʲ	91	3 7 1	AXN	SET	17	17.S.C 17.E.V 17.T.c	2.0 1.5 0.8	0	201
239	Polish	burn (V)	12	paliʨ	p a l i ʨ	92	1 7 5 7 2	AXBYN	PALIC	14	14.P.C 14.A.V 14.L.C 14.I.V 14.C.c	2.0 1.5 1.75 1.3 0.8	0	195
240	Norwegian	burn (V)	12	bɾenə	b ɾ e n ə	89	1 5 7 4 7	ACXBZ	PRENE	13	13.P.C 13.R.C 13.E.V 13.N.C 13.E.V	2.0 1.5 1.5 1.75 0.8	0	196
241	French	burn (V)	12	bʁyle	b ʁ y l e	93	1 5 7 5 7	ACXBZ	PRYLE	7	7.P.C 7.R.C 7.Y.V 7.L.C 7.E.V	2.0 1.5 1.5 1.75 0.8	0	199
242	Czech	burn (V)	12	paːlit	p aː l i t	92	1 7 5 7 1	AXBYN	PALIT	3	3.P.C 3.A.V 3.L.C 3.I.V 3.T.c	2.0 1.5 1.75 1.3 0.8	0	195
243	Icelandic	burn (V)	12	b̥rɛtna	b̥ r ɛ t n a	89	1 5 7 1 4 7	ACXBCZ	PRETNA	11	11.P.C 11.R.C 11.E.V 11.T.C 11.N.C 11.A.V	2.0 1.5 1.5 1.75 1.5 0.8	0	196
244	Italian	burn (V)	12	bruʧːare	b r u ʧː a r e	93	1 5 7 2 7 5 7	ACXBYBZ	PRYCARE	12	12.P.C 12.R.C 12.Y.V 12.C.C 12.A.V 12.R.C 12.E.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	199
245	Hindi	burn (V)	12	ʤəlnaː	ʤ ə l n aː	86	2 7 5 4 7	AXMBZ	CELNA	10	10.C.C 10.E.V 10.L.c 10.N.C 10.A.V	2.0 1.5 1.1 1.75 0.8	0	194
246	Portuguese	burn (V)	12	kɐjmar	k ɐ j m a r	90	1 7 6 4 7 5	AXMBYN	KEJMAR	15	15.K.C 15.E.V 15.J.c 15.M.C 15.A.V 15.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	207
247	Dutch	claw	13	naːɣəl	n aː ɣ ə l	94	4 7 3 7 5	AXBYN	NAGEL	5	5.N.C 5.A.V 5.G.C 5.E.V 5.L.c	2.0 1.5 1.75 1.3 0.8	0	212
248	Swedish	claw	13	naːgel	n aː g e l	94	4 7 1 7 5	AXBYN	NAKEL	19	19.N.C 19.A.V 19.K.C 19.E.V 19.L.c	2.0 1.5 1.75 1.3 0.8	0	212
249	English	claw	13	neɪl	n eɪ l	94	4 7 5	AXN	NEL	6	6.N.C 6.E.V 6.L.c	2.0 1.5 0.8	0	212
250	German	claw	13	naːɡəl	n aː ɡ ə l	94	4 7 1 7 5	AXBYN	NAKEL	8	8.N.C 8.A.V 8.K.C 8.E.V 8.L.c	2.0 1.5 1.75 1.3 0.8	0	212
251	Spanish	claw	13	uɲa	u ɲ a	94	7 4 7	XBZ	YNA	18	18.Y.V 18.N.C 18.A.V	1.5 1.75 0.8	0	223
252	Danish	claw	13	nɑjˀl	n ɑ jˀ l	94	4 7 6 5	AXLN	NAJL	4	4.N.C 4.A.V 4.J.c 4.L.c	2.0 1.5 1.1 0.8	0	212
253	Bulgarian	claw	13	nɔkət	n ɔ k ə t	94	4 7 1 7 1	AXBYN	NUKET	2	2.N.C 2.U.V 2.K.C 2.E.V 2.T.c	2.0 1.5 1.75 1.3 0.8	0	210
254	Greek	claw	13	niçi	n i ç i	94	4 7 3 7	AXBZ	NISI	9	9.N.C 9.I.V 9.S.C 9.I.V	2.0 1.5 1.75 0.8	0	217
255	Armenian	claw	13	jɛʁung	j ɛ ʁ u n g	94	6 7 5 7 4 1	AXBYLN	JERYNK	1	1.J.C 1.E.V 1.R.C 1.Y.V 1.N.c 1.K.c	2.0 1.5 1.75 1.3 1.1 0.8	0	209
256	Romanian	claw	13	ungje	u n g j e	94	7 4 1 6 7	XMBCZ	YNKJE	16	16.Y.V 16.N.c 16.K.C 16.J.C 16.E.V	1.5 1.1 1.75 1.5 0.8	0	215
257	Russian	claw	13	noɡətʲ	n o ɡ ə tʲ	94	4 7 1 7 1	AXBYN	NUKET	17	17.N.C 17.U.V 17.K.C 17.E.V 17.T.c	2.0 1.5 1.75 1.3 0.8	0	210
258	Polish	claw	13	paznɔkʲɛʨ	p a z n ɔ kʲ ɛ ʨ	94	1 7 3 4 7 1 7 2	AXBCYBYN	PASNUKEC	14	14.P.C 14.A.V 14.S.C 14.N.C 14.U.V 14.K.C 14.E.V 14.C.c	2.0 1.5 1.75 1.5 1.3 1.75 1.3 0.8	0	210
259	Norwegian	claw	13	næjl	n æ j l	94	4 7 6 5	AXLN	NEJL	13	13.N.C 13.E.V 13.J.c 13.L.c	2.0 1.5 1.1 0.8	0	212
260	French	claw	13	ɔ̃ɡl	ɔ̃ ɡ l	94	7 1 5	XBC	UKL	7	7.U.V 7.K.C 7.L.C	1.5 1.75 1.5	0	215
261	Czech	claw	13	nɛɦɛt	n ɛ ɦ ɛ t	94	4 7 3 7 1	AXBYN	NEHET	3	3.N.C 3.E.V 3.H.C 3.E.V 3.T.c	2.0 1.5 1.75 1.3 0.8	0	210
262	Icelandic	claw	13	nakl	n a k l	94	4 7 1 5	AXBC	NAKL	11	11.N.C 11.A.V 11.K.C 11.L.C	2.0 1.5 1.75 1.5	0	212
263	Italian	claw	13	unɡja	u n ɡ j a	94	7 4 1 6 7	XMBCZ	YNKJA	12	12.Y.V 12.N.c 12.K.C 12.J.C 12.A.V	1.5 1.1 1.75 1.5 0.8	0	215
264	Hindi	claw	13	naːkʰ	n aː kʰ	94	4 7 1	AXN	NAK	10	10.N.C 10.A.V 10.K.c	2.0 1.5 0.8	0	218
265	Portuguese	claw	13	uɲɐ	u ɲ ɐ	94	7 4 7	XBZ	YNE	15	15.Y.V 15.N.C 15.E.V	1.5 1.75 0.8	0	223
266	Dutch	cloud	14	ʋɔlk	ʋ ɔ l k	102	6 7 5 1	AXLN	WULK	5	5.W.C 5.U.V 5.L.c 5.K.c	2.0 1.5 1.1 0.8	0	228
267	Swedish	cloud	14	ɧyː	ɧ yː	96	3 7	AX	SY	19	19.S.C 19.Y.V	2.0 1.5	0	227
